Topic,Question Text,Options,Answer,Difficulty Level,Bloom's Taxonomy Level
Hashing,Implement a hash table,A. Use an array and linked lists;B. Use open addressing;C. Use chaining;D. Use perfect hashing,C,Medium,Create
Hashing,Find the intersection of two sets using hash tables,A. Use nested loops;B. Use sorted arrays;C. Use hash tables;D. Use set operations,C,Easy,Apply
Hashing,Find the union of two sets using hash tables,A. Use nested loops;B. Use sorted arrays;C. Use hash tables;D. Use set operations,C,Easy,Apply
Sorting,Implement bubble sort,A. Use nested loops and swap elements;B. Use recursion;C. Use a helper function;D. Use built-in sort,A,Easy,Create
Sorting,Implement selection sort,A. Find minimum element and swap;B. Use nested loops;C. Use recursion;D. Use built-in sort,A,Easy,Create
Sorting,Implement insertion sort,A. Insert each element into sorted sub-array;B. Use nested loops;C. Use recursion;D. Use built-in sort,A,Easy,Create
Heap,Implement a min-heap,A. Use an array and heapify operations;B. Use linked list;C. Use hash table;D. Use built-in heap,A,Medium,Create
Heap,Implement a max-heap,A. Use an array and heapify operations;B. Use linked list;C. Use hash table;D. Use built-in heap,A,Medium,Create
Heap,Extract minimum from a min-heap,A. Update root & heapify;B. Use recursion;C. Use iteration;D. Use built-in heap,A,Easy,Apply
Heap,Extract maximum from a max-heap,A. Update root & heapify;B. Use recursion;C. Use iteration;D. Use built-in heap,A,Easy,Apply
Trie,Implement a trie,A. Use an array & pointers;B. Use linked list;C. Use hash table;D. Use built-in trie,C,Medium,Create
Trie,Search for a word in a trie,A. Traverse trie based on characters;B. Use recursion;C. Use iteration;D. Use built-in trie,A,Medium,Apply
Trie,Insert a word into a trie,A. Traverse trie & create nodes;B. Use recursion;C. Use iteration;D. Use built-in trie,A,Medium,Apply
Searching,Implement linear search,A. Iterate and compare;B. Use recursion;C. Use hash table;D. Use binary search,A,Easy,Apply
Searching,Implement jump search,A. Jump based on step size;B. Use recursion;C. Use iteration;D. Use binary search,C,Medium,Analyze
Greedy,Implement fractional knapsack algorithm,A. Sort by value/weight ratio;B. Use dynamic programming;C. Use brute force;D. Use approximation,A,Medium,Apply
Greedy,Implement activity selection algorithm,A. Sort by finish time;B. Use dynamic programming;C. Use brute force;D. Use approximation,A,Medium,Apply
Backtracking,Solve N-Queens problem,A. Try placing queens in each row;B. Use dynamic programming;C. Use iterative approach;D. Use brute force,C,Medium,Apply
Backtracking,Solve Sudoku,,,,
